product_id,sku,name,description,category,manufacturer,size,color,material,cena_hurtowa,cena_detaliczna,stan,weight,ean,images
114,ALCEROS2M #10,OBRĄCZKA,"OBRĄCZKA, GŁADKA CERAMIKA, KOLOR SZAFIROWY, 2MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,10,,,14.00,53.38,0,1.080,,http://www.allsilver.pl/media/towary/big/5fd0b37cd7dbbb00f97ba6ce92bf5add.jpg
115,ALCEROS2M #12,OBRĄCZKA,"OBRĄCZKA, GŁADKA CERAMIKA, KOLOR SZAFIROWY, 2MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,12,,,14.00,53.38,0,1.180,,http://www.allsilver.pl/media/towary/big/2b44928ae11fb9384c4cf38708677c48.jpg
116,ALCEROS2M #14,OBRĄCZKA,"OBRĄCZKA, GŁADKA CERAMIKA, KOLOR SZAFIROWY, 2MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,14,,,14.00,53.38,3,1.190,,http://www.allsilver.pl/media/towary/big/c45147dee729311ef5b5c3003946c48f.jpg
117,ALCEROS2M #16,OBRĄCZKA,"OBRĄCZKA, GŁADKA CERAMIKA, KOLOR SZAFIROWY, 2MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,16,,,14.00,53.38,3,1.220,,http://www.allsilver.pl/media/towary/big/eb160de1de89d9058fcb0b968dbbbd68.jpg
121,ALCEROS2M #18,OBRĄCZKA,"OBRĄCZKA, GŁADKA CERAMIKA, KOLOR SZAFIROWY, 2MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,18,,,14.00,53.38,3,1.280,,http://www.allsilver.pl/media/towary/big/4c56ff4ce4aaf9573aa5dff913df997a.jpg
122,ALCEROS2M #20,OBRĄCZKA,"OBRĄCZKA, GŁADKA CERAMIKA, KOLOR SZAFIROWY, 2MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,20,,,14.00,53.38,3,1.350,,http://www.allsilver.pl/media/towary/big/a0a080f42e6f13b3a2df133f073095dd.jpg
123,ALCEROS2M #22,OBRĄCZKA,"OBRĄCZKA, GŁADKA CERAMIKA, KOLOR SZAFIROWY, 2MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,22,,,14.00,53.38,3,1.400,,http://www.allsilver.pl/media/towary/big/202cb962ac59075b964b07152d234b70.jpg
3595,ALCEROS2M #24,OBRĄCZKA,"OBRĄCZKA, GŁADKA CERAMIKA, KOLOR SZAFIROWY, 2MM.",Biżuteria/Srebro 925/Obrączki,AllSilver,24,,,14.00,53.38,3,1.400,,http://www.allsilver.pl/media/towary/big/c0e8517b1fe0b5270f3f41d4b56d6118.jpg
125,CS866CB #12,PIERŚCIONEK,"PIERŚCIONEK, CZARNA, GŁADKA CERAMIKA, SREBRO RODOWANE, BIAŁE CYRKONIE",Biżuteria/Srebro 925/Pierścionki,AllSilver,12,,,36.00,115.13,3,5.700,,http://www.allsilver.pl/media/towary/big/3def184ad8f4755ff269862ea77393dd.jpg
127,CS866CB #18,PIERŚCIONEK,"PIERŚCIONEK, CZARNA, GŁADKA CERAMIKA, SREBRO RODOWANE, BIAŁE CYRKONIE",Biżuteria/Srebro 925/Pierścionki,AllSilver,18,,,36.00,115.13,3,6.310,,http://www.allsilver.pl/media/towary/big/ec5decca5ed3d6b8079e2e7e7bacc9f2.jpg
