SKU,cena_hurtowa,cena_detaliczna,stan
CS-1008AWR #24,44.00,129.89,0
CS-1008AWY #20,41.00,121.03,3
CS-1008AWY #24,41.00,121.03,3
CS-1008AWY #14,44.00,129.89,0
CS-1008AWY #16,44.00,129.89,0
CS-1008AWY #18,44.00,129.89,3
CS-1008AWY #22,44.00,129.89,3
MVR-0130CRW #12,32.00,102.34,3
MVR-0130CRW #14,32.00,102.34,3
MVR-0130CRW #16,32.00,102.34,0
MVR-0130CRW #18,32.00,102.34,0
HR-0714R #12,19.00,60.76,3
HR-0714R #14,19.00,60.76,3
HR-0714R #16,19.00,60.76,0
HR-0714R #18,19.00,60.76,0
HR-0372 #12,24.00,76.75,0
HR-0372 #14,24.00,76.75,0
HR-0372 #16,24.00,76.75,0
HR-0372 #18,24.00,76.75,0
SR-212RWB #12,33.00,105.53,3
SR-212RWB #14,34.00,108.73,3
SR-212RWB #16,35.00,111.93,3
SR-212RWB #18,35.00,111.93,3
MVR-0385RBW #12,25.00,79.95,0
MVR-0385RBW #14,25.00,79.95,0
MVR-0385RBW #16,25.00,79.95,0
MVR-0385RBW #18,25.00,79.95,0
MVR-0384RBW #12,24.00,76.75,0
MVR-0384RBW #14,24.00,76.75,0
MVR-0384RBW #16,24.00,76.75,0
MVR-0384RBW #18,24.00,76.75,0
HR-0147RW #12,20.00,63.96,3
HR-0147RW #14,20.00,63.96,3
HR-0147RW #16,20.00,63.96,3
HR-0147RW #18,20.00,63.96,3
CHR0003R #12,32.00,102.34,0
CHR0003R #14,32.00,102.34,0
CHR0003R #16,32.00,102.34,0
CHR0001R #14,31.00,99.14,0
CHR0001R #16,31.00,99.14,0
MR10651R #12,22.00,70.36,3
MR10651R #14,22.00,70.36,0
MR10651R #16,22.00,70.36,0
SR-5708RB #12,23.00,73.55,3
SR-5708RB #14,23.00,73.55,3
SR-5708RB #16,23.00,73.55,3
SR-5708RB #20,23.00,73.55,0
SR-5708RBV #12,24.00,76.75,3
SR-5708RBV #14,24.00,76.75,3
SR-5708RBV #16,24.00,76.75,3
SR-5708RBP #12,23.00,73.55,3
SR-5708RBP #14,23.00,73.55,3
SR-5708RBP #16,23.00,73.55,3
SR-5708RC #12,23.00,73.55,3
SR-5708RC #14,23.00,73.55,3
SR-5708RC #16,23.00,73.55,3
MR10708R #12,17.00,54.37,3
MR10708R #14,17.00,54.37,3
MR10708R #16,17.00,54.37,3
CHR0002-1R #12,34.00,108.73,0
CHR0005R #12,33.00,105.53,0
CHR0005R #14,33.00,105.53,0
CHR0027R #12,33.00,105.53,3
CHR0027R #14,33.00,105.53,0
CHR0027R #16,33.00,105.53,0
CHR0004R #12,35.00,111.93,0
CHR0004R #14,35.00,111.93,0
CHR0004R #16,35.00,111.93,0
CS-200PBR #15,58.00,171.22,0
CS-200PBR #16,58.00,171.22,0
CS-200PBR #18,58.00,171.22,0
CS-200PBR #19,58.00,171.22,0
CS-200PBR #13,58.00,171.22,0
CS-200PBR #12,58.00,171.22,0
CS-200PBR #17,58.00,171.22,0
CS-207PBR #12,117.00,316.60,3
CS-207PBR #13,117.00,316.60,3
CS-207PBR #14,117.00,316.60,0
